left_elbow,right_elbow,left_knee,right_knee,label
167.07321680162613,172.36865540240257,177.03522151487132,175.69382843013312,downdog
169.1013973045643,174.22751491720084,177.8589054979101,179.61647910421425,downdog
170.83245115854103,170.1227056415337,138.95624565686663,141.2255571295422,downdog
176.15233049234897,179.10410132336864,165.6874421231713,172.23900455302336,downdog
169.67093532579796,169.9711736493746,178.31727740216385,176.62621653548277,downdog
172.8352253666196,170.66808060917378,179.3306956159222,179.81891321181067,downdog
163.72825486229385,163.41620826261405,175.68569149050143,175.45334378044154,downdog
170.51108518737968,176.7613040663064,178.50975517277897,175.74686054325713,downdog
171.42344531528235,162.10209200417225,178.15968581002934,173.33880682758172,downdog
170.92756375424565,172.61055275746753,174.9729111903611,173.0472697645224,downdog
171.8896923938164,179.66090848111858,177.52378156481396,172.72322330894167,downdog
166.1833627196804,165.77946296104656,179.91710386903785,179.2771406314058,downdog
118.88382071140802,135.8751529628797,171.320067906754,171.21270554099874,downdog
169.22085893554274,175.4915252714676,169.0046896007071,162.4132331853865,downdog
179.45286162288824,176.69089789919204,175.66544442484414,176.21836059300762,downdog
166.08558915931582,173.34157336091064,173.06458729000065,174.2389532032972,downdog
152.4517210568718,161.4940969069029,177.73881150289,175.54924457455132,downdog
179.247498732993,177.1272330864306,179.16390448320388,178.09310687545022,downdog
172.9402276707863,163.54435857691973,179.8892490638918,179.10421969154098,downdog
172.46235173544713,177.2670524104559,174.6218844174572,178.0852866392475,downdog
166.55041023689282,171.9474279133572,174.93088767896987,176.34371401802616,downdog
167.95055080609322,169.82403152039666,172.3478384235468,173.55379260074622,downdog
178.35611858456534,156.33212645044267,179.05838314328972,175.5698320995852,downdog
160.40479807020813,168.13002491520837,143.390754194282,149.69985611083206,downdog
166.08558915931582,173.34157336091064,173.06458729000065,174.2389532032972,downdog
172.46235173544713,177.2670524104559,174.6218844174572,178.0852866392475,downdog
167.95055080609322,169.82403152039666,172.3478384235468,173.55379260074622,downdog
152.4517210568718,161.4940969069029,177.73881150289,175.54924457455132,downdog
172.9402276707863,163.54435857691973,179.8892490638918,179.10421969154098,downdog
166.55041023689282,171.9474279133572,174.93088767896987,176.34371401802616,downdog
178.35611858456534,156.33212645044267,179.05838314328972,175.5698320995852,downdog
160.40479807020813,168.13002491520837,143.390754194282,149.69985611083206,downdog
179.247498732993,177.1272330864306,179.16390448320388,178.09310687545022,downdog
167.46526604171584,168.75179022273898,178.047853276456,179.80868613389273,downdog
163.12380255796828,162.9423137462657,179.68745914866486,178.69655526136506,downdog
158.67471068210128,160.11873492539195,84.0160182754599,88.78196197001748,downdog
172.62939605718321,169.83176259724235,168.16353861585694,167.36962502980631,downdog
154.25894996128108,154.43146880124033,179.7037518058501,177.7893648434079,downdog
135.69170070228932,138.42314475822516,154.9152509725588,157.04051684099534,downdog
165.1811859009626,172.02735529156496,173.55289817558386,176.718203842142,downdog
160.17146212510642,157.01728406729916,174.03363019625266,174.63800158564143,downdog
164.27777275876866,159.67612093598228,178.95365174470496,177.92972509279926,downdog
175.26787552814883,173.0545807977538,61.7702681691958,69.78808703394152,downdog
153.56737844862488,158.14072896950174,173.8388621838542,175.53214027265253,downdog
